ID	Time Commitment	Budget (per semester)	Career Change?	Target Timeline	Adopter Category
667	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible	Early Adopter
668	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years	Late Majority
669	10-15 hours per week	$10,000-$12,000	No	2-3 years	Early Adopter
670	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years	Early Adopter
671	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
672	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Early Adopter
673	10-15 hours per week	$10,000-$12,000	Yes	1-2 years	Early Adopter
674	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
675	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years	Early Majority
676	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years	Innovator
677	5-10 hours per week (1 course)	$8,000-$12,000	Yes	3-5 years	Early Majority
678	10-15 hours per week	$10,000-$15,000	Yes	2-3 years	Early Adopter
679	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Early Adopter
680	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
681	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible	Early Adopter
682	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years	Early Adopter
683	10-15 hours per week	$12,000-$15,000	Yes	2-3 years	Early Majority
684	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years	Early Adopter
685	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
686	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Majority
687	5-10 hours per week (part-time)	$10,000-$15,000	No	3-5 years or flexible	Late Majority
688	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
689	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years	Early Adopter
690	10-15 hours per week	$12,000-$15,000	Yes	3-5 years	Early Majority
691	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Majority
692	5-10 hours per week (part-time)	$10,000-$12,000	Yes	3-5 years	Early Adopter
693	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible	Early Adopter
694	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Majority
695	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years	Early Adopter
696	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Early Adopter
697	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years	Early Majority
698	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years	Innovator
699	5-10 hours per week (1 course)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
700	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years	Innovator
701	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Early Adopter
702	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Majority
703	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	3-5 years	Early Majority
704	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years	Innovator
705	5-10 hours per week (part-time)	$8,000-$12,000	No	3-5 years or flexible	Early Majority
706	10-15 hours per week	$6,000-$8,000	Yes	2-3 years	Innovator
707	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years	Innovator
708	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	2-3 years	Early Adopter
709	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years	Innovator
710	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
711	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
712	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years	Early Adopter
713	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years	Innovator
714	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Adopter
715	10-15 hours per week	$10,000-$15,000	No	2-3 years	Innovator
716	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	3-5 years	Early Adopter
717	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years	Early Adopter
718	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years	Early Majority
719	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible	Early Adopter
720	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	3-5 years	Early Adopter
721	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	2-3 years	Early Adopter
722	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years	Innovator
723	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
724	5-10 hours per week (part-time)	$4,000-$6,000	Yes	1-2 years	Early Adopter
725	10-15 hours per week	$6,000-$8,000	Yes	2-3 years	Early Majority
726	5-10 hours per week (part-time)	$4,000-$6,000	Yes	1-2 years	Innovator
727	5-10 hours per week (1 course)	$10,000-$15,000	Yes	3-5 years	Early Majority
728	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years	Early Majority
729	10-15 hours per week	$6,000-$8,000	Yes	2-3 years	Early Majority
730	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	2-3 years	Early Adopter
731	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
732	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Adopter
733	10-15 hours per week	$8,000-$12,000	Yes	2-3 years	Early Adopter
734	10-15 hours per week	$10,000-$15,000	Yes	2-3 years	Innovator
735	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Adopter
736	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years	Early Adopter
737	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years	Early Adopter
738	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	2-3 years	Early Adopter
739	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years	Early Adopter
740	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years	Early Adopter
741	10-15 hours per week	$10,000-$15,000	Yes	1-2 years	Innovator
742	10-15 hours per week	$6,000-$8,000	Yes	1-2 years	Innovator
743	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years	Early Adopter
744	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years	Early Majority
745	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years	Early Majority
746	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Innovator
747	15-20 hours per week (2 courses)	$10,000-$12,000	Yes	1-2 years	Innovator
748	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
749	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Early Majority
750	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Early Adopter
751	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years	Early Majority
752	5-10 hours per week (1 course)	$10,000-$15,000	No	3-5 years or flexible	Early Majority
753	10-15 hours per week	$5,000-$8,000	No	2-3 years	Innovator
754	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Innovator
755	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	1-2 years	Early Adopter
756	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years	Early Adopter
757	10-15 hours per week	$12,000-$15,000	No	2-3 years	Early Majority
758	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Early Majority
759	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Innovator
760	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years	Early Majority
761	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years	Early Adopter
762	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Majority
763	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years	Early Majority
764	10-15 hours per week	$10,000-$15,000	Yes	2-3 years	Innovator
765	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years	Early Adopter
766	5-10 hours per week (part-time)	$8,000-$12,000	No	3-5 years or flexible	Early Majority
767	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years	Early Adopter
768	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Early Majority
769	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years	Early Majority
770	10-15 hours per week	$10,000-$15,000	Yes	3-5 years	Early Majority
771	10-15 hours per week	$5,000-$8,000	Yes	3-5 years	Early Adopter
772	5-10 hours per week (1 course)	$2,000-$4,000	Yes	1-2 years	Early Majority
773	10-15 hours per week	$12,000-$15,000	Yes	1-2 years	Early Adopter
774	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Innovator
775	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Early Adopter
776	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
777	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Innovator
778	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years	Innovator
779	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
780	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
781	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible	Early Majority
782	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
783	5-10 hours per week (part-time)	$12,000-$15,000	Yes	3-5 years	Late Majority
784	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Innovator
785	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Majority
786	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years	Early Adopter
787	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Innovator
788	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Innovator
789	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Adopter
790	5-10 hours per week (1 course)	$5,000-$8,000	No	3-5 years or flexible	Early Majority
791	10-15 hours per week	$12,000-$15,000	No	2-3 years	Early Adopter
792	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
793	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Early Adopter
794	5-10 hours per week (part-time)	$5,000-$8,000	No	3-5 years or flexible	Early Adopter
795	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years	Early Majority
796	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
797	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
798	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible	Early Adopter
799	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible	Early Majority
800	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible	Early Majority
