ID	Profile	Age	Gender	Location	Current Role	Desired Field	Income Range	Education Level	Time Commitment	Adopter Category
391	Career Changer / Adult Learner	27	Female	UK	Teacher	Healthcare Administration	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Innovator
392	Career Changer / Adult Learner	38	Male	Germany	HR Coordinator	Finance	$90k–$120k	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
393	Career Changer / Adult Learner	50	Prefer not to say	Australia	Software Engineer	Cybersecurity	$120k+	Some College	5-10 hours per week (part-time)	Early Majority
394	Working Professional Considering Graduate Degrees	25	Male	India	Accountant	Data Science	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Adopter
395	Career Changer / Adult Learner	33	Male	India	HR Coordinator	Public Policy	$90k–$120k	Some College	10-15 hours per week	Early Adopter
396	Working Professional Considering Graduate Degrees	41	Non-binary	US	Accountant	Data Science	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
397	Working Professional Considering Graduate Degrees	41	Female	US	HR Coordinator	Public Policy	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Innovator
398	Career Changer / Adult Learner	37	Male	Canada	Technician	MBA	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
399	Career Changer / Adult Learner	54	Non-binary	Germany	Teacher	MBA	$120k+	Some College	5-10 hours per week (1 course)	Late Majority
400	Working Professional Considering Graduate Degrees	43	Male	India	Nurse	Healthcare Administration	$90k–$120k	Some College	10-15 hours per week	Early Majority
401	Working Professional Considering Graduate Degrees	48	Male	US	Sales Manager	Data Science	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Majority
402	Career Changer / Adult Learner	38	Male	Australia	Nurse	Finance	$120k+	Master's	10-15 hours per week	Innovator
403	Career Changer / Adult Learner	36	Prefer not to say	Canada	Marketing Specialist	AI & Machine Learning	$90k–$120k	Bachelor's	10-15 hours per week	Early Adopter
404	Working Professional Considering Graduate Degrees	47	Non-binary	India	Sales Manager	MBA	$70k–$90k	Master's	10-15 hours per week	Early Adopter
405	Career Changer / Adult Learner	28	Prefer not to say	Germany	Technician	UX Design	$120k+	Associate	10-15 hours per week	Innovator
406	Career Changer / Adult Learner	28	Prefer not to say	Germany	Accountant	AI & Machine Learning	$70k–$90k	Master's	10-15 hours per week	Innovator
407	Career Changer / Adult Learner	45	Non-binary	UK	Nurse	Data Science	$70k–$90k	Some College	10-15 hours per week	Early Majority
408	Working Professional Considering Graduate Degrees	40	Male	India	Nurse	Cybersecurity	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Innovator
409	Working Professional Considering Graduate Degrees	50	Prefer not to say	UK	Technician	Healthcare Administration	$90k–$120k	Bachelor's	5-10 hours per week (1 course)	Early Majority
410	Working Professional Considering Graduate Degrees	54	Male	Canada	Sales Manager	UX Design	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Majority
411	Career Changer / Adult Learner	43	Male	UK	Sales Manager	AI & Machine Learning	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
412	Working Professional Considering Graduate Degrees	35	Female	India	Software Engineer	Public Policy	$70k–$90k	Associate	10-15 hours per week	Early Adopter
413	Working Professional Considering Graduate Degrees	48	Male	US	Nurse	Data Science	$70k–$90k	Bachelor's	10-15 hours per week	Early Adopter
414	Working Professional Considering Graduate Degrees	30	Prefer not to say	UK	Software Engineer	UX Design	$70k–$90k	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
415	Working Professional Considering Graduate Degrees	42	Male	US	Marketing Specialist	Finance	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
416	Career Changer / Adult Learner	45	Prefer not to say	UK	HR Coordinator	Healthcare Administration	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Innovator
417	Career Changer / Adult Learner	50	Female	Australia	Technician	AI & Machine Learning	$120k+	Associate	5-10 hours per week (1 course)	Early Majority
418	Career Changer / Adult Learner	31	Male	UK	Sales Manager	Data Science	$120k+	Bachelor's	10-15 hours per week	Innovator
419	Working Professional Considering Graduate Degrees	55	Non-binary	India	Nurse	Public Policy	$120k+	Some College	5-10 hours per week (1 course)	Late Majority
420	Career Changer / Adult Learner	28	Non-binary	India	Sales Manager	Cybersecurity	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Innovator
421	Career Changer / Adult Learner	49	Prefer not to say	US	Software Engineer	Healthcare Administration	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Majority
422	Career Changer / Adult Learner	42	Non-binary	UK	Sales Manager	Cybersecurity	$70k–$90k	Master's	10-15 hours per week	Innovator
423	Working Professional Considering Graduate Degrees	44	Prefer not to say	Germany	Marketing Specialist	Healthcare Administration	$90k–$120k	Some College	10-15 hours per week	Early Majority
424	Working Professional Considering Graduate Degrees	37	Female	UK	Marketing Specialist	Public Policy	$90k–$120k	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
425	Working Professional Considering Graduate Degrees	28	Prefer not to say	UK	Accountant	Finance	$90k–$120k	Master's	10-15 hours per week (1-2 courses)	Innovator
426	Career Changer / Adult Learner	34	Female	Australia	Marketing Specialist	UX Design	$50k–$70k	Some College	5-10 hours per week (1 course)	Early Majority
427	Career Changer / Adult Learner	50	Female	Australia	Teacher	MBA	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Majority
428	Career Changer / Adult Learner	36	Prefer not to say	Australia	Nurse	Cybersecurity	$90k–$120k	Some College	10-15 hours per week (1-2 courses)	Early Majority
429	Working Professional Considering Graduate Degrees	26	Male	Germany	Accountant	MBA	$30k–$50k	Master's	5-10 hours per week (1 course)	Innovator
430	Career Changer / Adult Learner	54	Male	Germany	HR Coordinator	Cybersecurity	$70k–$90k	Associate	5-10 hours per week (1 course)	Early Majority
431	Working Professional Considering Graduate Degrees	41	Prefer not to say	UK	Marketing Specialist	UX Design	$70k–$90k	Associate	10-15 hours per week	Early Adopter
432	Career Changer / Adult Learner	55	Female	Australia	Technician	UX Design	$70k–$90k	Some College	5-10 hours per week (part-time)	Late Majority
433	Career Changer / Adult Learner	53	Prefer not to say	Canada	Marketing Specialist	AI & Machine Learning	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Majority
434	Working Professional Considering Graduate Degrees	40	Prefer not to say	Germany	Software Engineer	Finance	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
435	Working Professional Considering Graduate Degrees	48	Male	Australia	Software Engineer	MBA	$120k+	Some College	10-15 hours per week	Early Majority
436	Career Changer / Adult Learner	46	Female	Australia	Teacher	Finance	$120k+	Some College	10-15 hours per week (1-2 courses)	Early Majority
437	Working Professional Considering Graduate Degrees	45	Prefer not to say	Canada	Sales Manager	MBA	$120k+	Some College	10-15 hours per week (1-2 courses)	Early Majority
438	Career Changer / Adult Learner	53	Male	India	Technician	UX Design	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Majority
439	Working Professional Considering Graduate Degrees	46	Male	UK	Accountant	Cybersecurity	$90k–$120k	Master's	10-15 hours per week (1-2 courses)	Early Adopter
440	Career Changer / Adult Learner	28	Male	India	HR Coordinator	Public Policy	$70k–$90k	Bachelor's	10-15 hours per week	Innovator
441	Career Changer / Adult Learner	53	Non-binary	India	Accountant	UX Design	$70k–$90k	Some College	5-10 hours per week (part-time)	Late Majority
442	Career Changer / Adult Learner	51	Prefer not to say	US	Technician	Cybersecurity	$30k–$50k	Master's	5-10 hours per week (1 course)	Early Adopter
443	Working Professional Considering Graduate Degrees	49	Male	Germany	Teacher	UX Design	$120k+	Associate	10-15 hours per week	Early Majority
444	Working Professional Considering Graduate Degrees	41	Female	Australia	Nurse	Cybersecurity	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Adopter
445	Working Professional Considering Graduate Degrees	26	Female	Germany	Marketing Specialist	AI & Machine Learning	$30k–$50k	Master's	5-10 hours per week (part-time)	Innovator
446	Career Changer / Adult Learner	40	Male	Australia	Teacher	AI & Machine Learning	$70k–$90k	Associate	10-15 hours per week	Early Adopter
447	Working Professional Considering Graduate Degrees	39	Non-binary	Canada	Technician	AI & Machine Learning	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
448	Career Changer / Adult Learner	26	Female	US	Nurse	MBA	$50k–$70k	Some College	5-10 hours per week (1 course)	Early Adopter
449	Career Changer / Adult Learner	29	Prefer not to say	Canada	Accountant	Data Science	$70k–$90k	Master's	10-15 hours per week	Innovator
450	Career Changer / Adult Learner	50	Prefer not to say	Canada	Technician	Cybersecurity	$50k–$70k	Some College	5-10 hours per week (1 course)	Early Majority
451	Career Changer / Adult Learner	44	Prefer not to say	US	Teacher	Cybersecurity	$70k–$90k	Master's	10-15 hours per week	Innovator
452	Working Professional Considering Graduate Degrees	50	Prefer not to say	US	Nurse	AI & Machine Learning	$120k+	Some College	5-10 hours per week (part-time)	Early Majority
453	Career Changer / Adult Learner	25	Male	Canada	Teacher	UX Design	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Adopter
454	Career Changer / Adult Learner	46	Non-binary	US	Software Engineer	Healthcare Administration	$50k–$70k	Some College	5-10 hours per week (1 course)	Early Majority
455	Career Changer / Adult Learner	54	Prefer not to say	UK	HR Coordinator	Data Science	$90k–$120k	Some College	5-10 hours per week (part-time)	Late Majority
456	Working Professional Considering Graduate Degrees	33	Female	Germany	Software Engineer	MBA	$90k–$120k	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
457	Working Professional Considering Graduate Degrees	43	Prefer not to say	UK	Nurse	AI & Machine Learning	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
458	Career Changer / Adult Learner	53	Female	Australia	Sales Manager	UX Design	$50k–$70k	Some College	5-10 hours per week (part-time)	Late Majority
459	Career Changer / Adult Learner	46	Non-binary	Canada	Nurse	Cybersecurity	$120k+	Associate	10-15 hours per week (1-2 courses)	Early Majority
460	Working Professional Considering Graduate Degrees	41	Male	UK	Accountant	Finance	$120k+	Master's	10-15 hours per week	Innovator
461	Career Changer / Adult Learner	26	Prefer not to say	Australia	Accountant	AI & Machine Learning	$120k+	Associate	10-15 hours per week (1-2 courses)	Innovator
462	Career Changer / Adult Learner	34	Non-binary	US	Marketing Specialist	Healthcare Administration	$70k–$90k	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
463	Career Changer / Adult Learner	39	Male	US	Nurse	Healthcare Administration	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
464	Working Professional Considering Graduate Degrees	50	Male	UK	Software Engineer	Cybersecurity	$90k–$120k	Associate	5-10 hours per week (part-time)	Early Majority
465	Working Professional Considering Graduate Degrees	30	Non-binary	UK	Nurse	Cybersecurity	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Adopter
466	Working Professional Considering Graduate Degrees	38	Non-binary	India	Marketing Specialist	Data Science	$30k–$50k	Master's	5-10 hours per week (part-time)	Early Adopter
467	Career Changer / Adult Learner	42	Female	Australia	Technician	Finance	$120k+	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
468	Career Changer / Adult Learner	30	Female	Australia	Nurse	Public Policy	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
469	Working Professional Considering Graduate Degrees	42	Female	UK	Software Engineer	Public Policy	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Majority
470	Working Professional Considering Graduate Degrees	47	Female	US	HR Coordinator	Cybersecurity	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Majority
471	Career Changer / Adult Learner	43	Prefer not to say	India	Technician	Healthcare Administration	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
472	Working Professional Considering Graduate Degrees	26	Non-binary	Australia	Technician	AI & Machine Learning	$120k+	Master's	10-15 hours per week	Innovator
473	Working Professional Considering Graduate Degrees	52	Prefer not to say	Canada	Sales Manager	Cybersecurity	$90k–$120k	Associate	5-10 hours per week (1 course)	Early Majority
474	Career Changer / Adult Learner	32	Non-binary	Germany	Nurse	MBA	$120k+	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
475	Working Professional Considering Graduate Degrees	41	Male	India	Technician	UX Design	$70k–$90k	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
476	Working Professional Considering Graduate Degrees	36	Male	UK	Marketing Specialist	Data Science	$90k–$120k	Bachelor's	10-15 hours per week	Early Adopter
477	Working Professional Considering Graduate Degrees	31	Non-binary	Australia	Accountant	MBA	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Adopter
478	Career Changer / Adult Learner	27	Female	India	Teacher	Finance	$90k–$120k	Master's	10-15 hours per week (1-2 courses)	Innovator
479	Working Professional Considering Graduate Degrees	40	Male	US	Software Engineer	Finance	$70k–$90k	Some College	10-15 hours per week	Early Majority
480	Working Professional Considering Graduate Degrees	38	Male	Canada	Accountant	Finance	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Majority
481	Working Professional Considering Graduate Degrees	37	Female	Australia	HR Coordinator	MBA	$120k+	Some College	10-15 hours per week (1-2 courses)	Early Majority
482	Working Professional Considering Graduate Degrees	38	Female	US	Technician	Healthcare Administration	$90k–$120k	Associate	20+ hours per week (full-time)	Early Adopter
483	Career Changer / Adult Learner	52	Prefer not to say	Germany	Software Engineer	Cybersecurity	$120k+	Associate	5-10 hours per week (1 course)	Early Majority
484	Career Changer / Adult Learner	24	Male	Canada	Technician	UX Design	$70k–$90k	Some College	10-15 hours per week (1-2 courses)	Early Adopter
485	Working Professional Considering Graduate Degrees	37	Non-binary	UK	Sales Manager	Data Science	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
486	Career Changer / Adult Learner	32	Male	Australia	HR Coordinator	Public Policy	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
487	Career Changer / Adult Learner	53	Female	India	Marketing Specialist	MBA	$90k–$120k	Master's	5-10 hours per week (1 course)	Early Majority
488	Working Professional Considering Graduate Degrees	43	Male	Canada	Nurse	Public Policy	$70k–$90k	Associate	10-15 hours per week	Early Adopter
489	Working Professional Considering Graduate Degrees	36	Female	India	Accountant	AI & Machine Learning	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
490	Career Changer / Adult Learner	27	Prefer not to say	Canada	Teacher	AI & Machine Learning	$50k–$70k	Master's	5-10 hours per week (1 course)	Innovator
491	Working Professional Considering Graduate Degrees	54	Prefer not to say	US	HR Coordinator	AI & Machine Learning	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
492	Career Changer / Adult Learner	47	Prefer not to say	India	Teacher	Data Science	$30k–$50k	Master's	5-10 hours per week (part-time)	Early Adopter
493	Career Changer / Adult Learner	28	Non-binary	India	Nurse	Public Policy	$30k–$50k	Master's	5-10 hours per week (1 course)	Innovator
494	Career Changer / Adult Learner	50	Female	US	Technician	Data Science	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Majority
495	Working Professional Considering Graduate Degrees	32	Male	UK	Nurse	AI & Machine Learning	$70k–$90k	Master's	10-15 hours per week	Innovator
496	Working Professional Considering Graduate Degrees	42	Female	US	Software Engineer	Finance	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
497	Career Changer / Adult Learner	52	Male	India	Nurse	AI & Machine Learning	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Majority
498	Working Professional Considering Graduate Degrees	49	Female	Canada	Accountant	Finance	$50k–$70k	Some College	5-10 hours per week (1 course)	Early Majority
499	Career Changer / Adult Learner	50	Non-binary	Australia	Accountant	Cybersecurity	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
500	Career Changer / Adult Learner	35	Prefer not to say	Germany	Marketing Specialist	Cybersecurity	$120k+	Associate	10-15 hours per week (1-2 courses)	Early Adopter
501	Career Changer / Adult Learner	36	Prefer not to say	Germany	Software Engineer	Cybersecurity	$90k–$120k	Master's	10-15 hours per week (1-2 courses)	Innovator
502	Career Changer / Adult Learner	49	Female	US	Sales Manager	MBA	$120k+	Master's	10-15 hours per week (1-2 courses)	Early Adopter
503	Career Changer / Adult Learner	43	Female	US	Accountant	Finance	$120k+	Associate	20+ hours per week (full-time)	Early Adopter
504	Working Professional Considering Graduate Degrees	26	Non-binary	India	Sales Manager	Public Policy	$120k+	Some College	10-15 hours per week (1-2 courses)	Early Adopter
505	Working Professional Considering Graduate Degrees	51	Female	US	Accountant	Finance	$90k–$120k	Master's	5-10 hours per week (1 course)	Early Adopter
506	Career Changer / Adult Learner	45	Male	US	HR Coordinator	Data Science	$70k–$90k	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
507	Career Changer / Adult Learner	43	Non-binary	US	Sales Manager	MBA	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Majority
508	Career Changer / Adult Learner	29	Male	US	HR Coordinator	AI & Machine Learning	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Adopter
509	Working Professional Considering Graduate Degrees	34	Male	US	Accountant	Data Science	$50k–$70k	Master's	5-10 hours per week (1 course)	Innovator
510	Working Professional Considering Graduate Degrees	51	Male	Australia	Technician	Public Policy	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
511	Career Changer / Adult Learner	38	Female	US	Marketing Specialist	Public Policy	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
512	Career Changer / Adult Learner	39	Male	Canada	Nurse	Public Policy	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
513	Working Professional Considering Graduate Degrees	48	Prefer not to say	UK	Sales Manager	UX Design	$70k–$90k	Some College	10-15 hours per week	Early Majority
514	Working Professional Considering Graduate Degrees	47	Female	US	Marketing Specialist	Finance	$70k–$90k	Associate	10-15 hours per week	Early Majority
515	Working Professional Considering Graduate Degrees	25	Female	US	Technician	Finance	$70k–$90k	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
516	Career Changer / Adult Learner	29	Female	US	Nurse	Public Policy	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Adopter
517	Career Changer / Adult Learner	50	Non-binary	UK	Teacher	Cybersecurity	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
518	Working Professional Considering Graduate Degrees	30	Non-binary	UK	Accountant	Data Science	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
519	Working Professional Considering Graduate Degrees	35	Female	UK	Software Engineer	MBA	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
520	Working Professional Considering Graduate Degrees	29	Non-binary	Canada	Technician	Public Policy	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
521	Working Professional Considering Graduate Degrees	46	Prefer not to say	Canada	Accountant	Public Policy	$70k–$90k	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
522	Working Professional Considering Graduate Degrees	42	Female	US	HR Coordinator	Cybersecurity	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
523	Career Changer / Adult Learner	36	Non-binary	Canada	Sales Manager	MBA	$90k–$120k	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
524	Working Professional Considering Graduate Degrees	39	Female	India	Marketing Specialist	AI & Machine Learning	$90k–$120k	Some College	10-15 hours per week	Early Majority
525	Working Professional Considering Graduate Degrees	47	Female	US	Software Engineer	Cybersecurity	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
526	Career Changer / Adult Learner	41	Female	India	Software Engineer	Data Science	$90k–$120k	Some College	10-15 hours per week	Early Majority
527	Career Changer / Adult Learner	48	Female	UK	Marketing Specialist	Healthcare Administration	$70k–$90k	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
528	Working Professional Considering Graduate Degrees	36	Male	Canada	Software Engineer	Finance	$120k+	Some College	10-15 hours per week	Early Majority
529	Working Professional Considering Graduate Degrees	26	Prefer not to say	Germany	Teacher	Public Policy	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Adopter
530	Career Changer / Adult Learner	39	Non-binary	Canada	Sales Manager	Healthcare Administration	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
531	Working Professional Considering Graduate Degrees	27	Female	India	HR Coordinator	Healthcare Administration	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Innovator
532	Career Changer / Adult Learner	27	Non-binary	US	Sales Manager	AI & Machine Learning	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Adopter
533	Working Professional Considering Graduate Degrees	39	Prefer not to say	Germany	Marketing Specialist	Cybersecurity	$120k+	Associate	10-15 hours per week (1-2 courses)	Early Adopter
534	Working Professional Considering Graduate Degrees	27	Prefer not to say	India	Technician	MBA	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Adopter
535	Career Changer / Adult Learner	25	Prefer not to say	India	HR Coordinator	UX Design	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Adopter
536	Working Professional Considering Graduate Degrees	44	Prefer not to say	India	Sales Manager	Finance	$70k–$90k	Associate	10-15 hours per week	Early Adopter
537	Working Professional Considering Graduate Degrees	43	Male	Germany	Accountant	Data Science	$120k+	Bachelor's	10-15 hours per week	Early Adopter
538	Career Changer / Adult Learner	47	Female	UK	Accountant	Healthcare Administration	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Majority
539	Career Changer / Adult Learner	49	Non-binary	Germany	HR Coordinator	Data Science	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
540	Career Changer / Adult Learner	39	Non-binary	US	Technician	Healthcare Administration	$120k+	Associate	20+ hours per week (full-time)	Early Adopter
541	Working Professional Considering Graduate Degrees	32	Prefer not to say	India	Technician	Finance	$70k–$90k	Associate	10-15 hours per week	Early Adopter
542	Career Changer / Adult Learner	54	Prefer not to say	Canada	Teacher	Healthcare Administration	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Majority
543	Career Changer / Adult Learner	35	Male	India	HR Coordinator	Healthcare Administration	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
544	Working Professional Considering Graduate Degrees	33	Male	UK	HR Coordinator	MBA	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
545	Working Professional Considering Graduate Degrees	26	Prefer not to say	Germany	Marketing Specialist	Data Science	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Innovator
546	Career Changer / Adult Learner	33	Male	Germany	Software Engineer	Finance	$70k–$90k	Some College	10-15 hours per week (1-2 courses)	Early Adopter
547	Working Professional Considering Graduate Degrees	32	Non-binary	Australia	Technician	Cybersecurity	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
548	Working Professional Considering Graduate Degrees	31	Non-binary	Canada	Teacher	Healthcare Administration	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Adopter
549	Career Changer / Adult Learner	25	Non-binary	India	HR Coordinator	MBA	$70k–$90k	Some College	10-15 hours per week	Early Adopter
550	Working Professional Considering Graduate Degrees	41	Female	US	Marketing Specialist	UX Design	$120k+	Bachelor's	20+ hours per week (full-time)	Innovator
551	Working Professional Considering Graduate Degrees	26	Prefer not to say	India	Software Engineer	AI & Machine Learning	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Adopter
552	Career Changer / Adult Learner	53	Female	Canada	Software Engineer	Finance	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Majority
553	Working Professional Considering Graduate Degrees	48	Female	UK	Nurse	UX Design	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
554	Working Professional Considering Graduate Degrees	32	Female	UK	Software Engineer	Healthcare Administration	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
555	Career Changer / Adult Learner	51	Female	Australia	Software Engineer	Healthcare Administration	$70k–$90k	Some College	5-10 hours per week (part-time)	Early Majority
556	Career Changer / Adult Learner	50	Female	India	Software Engineer	UX Design	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
557	Working Professional Considering Graduate Degrees	29	Male	UK	Accountant	Cybersecurity	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Adopter
558	Career Changer / Adult Learner	39	Male	Germany	Software Engineer	MBA	$90k–$120k	Associate	10-15 hours per week	Early Adopter
559	Working Professional Considering Graduate Degrees	31	Prefer not to say	Australia	HR Coordinator	AI & Machine Learning	$120k+	Some College	10-15 hours per week (1-2 courses)	Early Adopter
560	Career Changer / Adult Learner	40	Female	US	HR Coordinator	Cybersecurity	$70k–$90k	Associate	10-15 hours per week	Early Adopter
561	Career Changer / Adult Learner	41	Male	India	Marketing Specialist	UX Design	$30k–$50k	Master's	5-10 hours per week (part-time)	Early Adopter
562	Career Changer / Adult Learner	30	Female	US	HR Coordinator	Data Science	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
563	Working Professional Considering Graduate Degrees	53	Male	Australia	Nurse	MBA	$70k–$90k	Master's	5-10 hours per week (part-time)	Early Majority
564	Career Changer / Adult Learner	50	Female	Australia	HR Coordinator	AI & Machine Learning	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Adopter
565	Career Changer / Adult Learner	51	Non-binary	UK	Sales Manager	AI & Machine Learning	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
566	Working Professional Considering Graduate Degrees	44	Female	Germany	Teacher	AI & Machine Learning	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
567	Working Professional Considering Graduate Degrees	34	Non-binary	India	Accountant	Public Policy	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
568	Career Changer / Adult Learner	50	Non-binary	UK	Technician	UX Design	$70k–$90k	Some College	5-10 hours per week (1 course)	Early Majority
569	Working Professional Considering Graduate Degrees	48	Non-binary	India	Sales Manager	Healthcare Administration	$120k+	Bachelor's	10-15 hours per week	Early Adopter
570	Career Changer / Adult Learner	44	Prefer not to say	India	Software Engineer	Public Policy	$30k–$50k	Master's	5-10 hours per week (1 course)	Early Adopter
571	Career Changer / Adult Learner	37	Male	Germany	Sales Manager	AI & Machine Learning	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
572	Working Professional Considering Graduate Degrees	33	Prefer not to say	UK	HR Coordinator	Public Policy	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
573	Working Professional Considering Graduate Degrees	34	Female	Germany	Teacher	AI & Machine Learning	$70k–$90k	Associate	10-15 hours per week	Early Adopter
574	Career Changer / Adult Learner	50	Non-binary	Germany	Nurse	Cybersecurity	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Majority
575	Career Changer / Adult Learner	38	Non-binary	Australia	Technician	Finance	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Majority
576	Working Professional Considering Graduate Degrees	43	Non-binary	India	HR Coordinator	Public Policy	$70k–$90k	Bachelor's	10-15 hours per week	Early Adopter
577	Career Changer / Adult Learner	44	Non-binary	Australia	HR Coordinator	MBA	$120k+	Bachelor's	10-15 hours per week (1-2 courses)	Early Adopter
578	Career Changer / Adult Learner	35	Male	Canada	Sales Manager	Cybersecurity	$120k+	Bachelor's	10-15 hours per week	Innovator
579	Career Changer / Adult Learner	27	Prefer not to say	UK	HR Coordinator	AI & Machine Learning	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Adopter
580	Career Changer / Adult Learner	46	Female	Germany	Sales Manager	MBA	$30k–$50k	Master's	5-10 hours per week (part-time)	Early Adopter
581	Career Changer / Adult Learner	38	Male	Canada	Marketing Specialist	AI & Machine Learning	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
582	Career Changer / Adult Learner	49	Female	Germany	Software Engineer	Data Science	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Majority
583	Career Changer / Adult Learner	30	Male	Canada	Sales Manager	UX Design	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
584	Career Changer / Adult Learner	33	Male	India	Teacher	AI & Machine Learning	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
