ID	Time Commitment	Budget (per semester)	Career Change?	Target Timeline
784	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years
785	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
786	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years
787	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
788	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years
789	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
790	5-10 hours per week (1 course)	$6,000-$8,000	No	3-5 years or flexible
791	10-15 hours per week	$12,000-$15,000	No	2-3 years
792	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
793	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
794	5-10 hours per week (part-time)	$6,000-$8,000	No	3-5 years or flexible
795	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years
796	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
797	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years
798	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible
799	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible
800	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible
